Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.2465        -328.7435    -330.4421       1.6986   247.9
0.2470        -328.6462    -330.5091       1.8629   271.9
0.2475        -328.6713    -330.5796       1.9083   278.6
0.2480        -328.6705    -330.6326       1.9621   286.4
0.2485        -328.6436    -330.6477       2.0041   292.5
0.2490        -328.6021    -330.6173       2.0152   294.2
0.2495        -328.5337    -330.5443       2.0106   293.5
0.2500        -328.6009    -330.4462       1.8453   269.4
0.2505        -328.6717    -330.3590       1.6872   246.3
0.2510        -328.6599    -330.3103       1.6504   240.9
0.2515        -328.6514    -330.3239       1.6726   244.1
0.2520        -328.6274    -330.3882       1.7608   257.0
0.2525        -328.6336    -330.4837       1.8501   270.1
0.2530        -328.6808    -330.5691       1.8883   275.6
0.2535        -328.6872    -330.6232       1.9360   282.6
0.2540        -328.6591    -330.6337       1.9746   288.2
0.2545        -328.6426    -330.5961       1.9536   285.2
0.2550        -328.6397    -330.5236       1.8839   275.0
0.2555        -328.6445    -330.4416       1.7971   262.3
0.2560        -328.6263    -330.3811       1.7549   256.2
0.2565        -328.6531    -330.3683       1.7152   250.4
0.2570        -328.6059    -330.4156       1.8096   264.2
0.2575        -328.5739    -330.5061       1.9322   282.0
0.2580        -328.5016    -330.6101       2.1085   307.8
0.2585        -328.6275    -330.6879       2.0603   300.7
0.2590        -328.5706    -330.7284       2.1578   315.0
0.2595        -328.5779    -330.7302       2.1523   314.2
0.2600        -328.5832    -330.7149       2.1318   311.2
0.2605        -328.5424    -330.6972       2.1549   314.5
0.2610        -328.5855    -330.6808       2.0954   305.9
0.2615        -328.5623    -330.6713       2.1091   307.9
0.2620        -328.5261    -330.6649       2.1387   312.2
0.2625        -328.4585    -330.6670       2.2085   322.4
0.2630        -328.4011    -330.6823       2.2813   333.0
0.2635        -328.4277    -330.7109       2.2832   333.3
0.2640        -328.4130    -330.7440       2.3311   340.3
